id,name,price,stock,max_stock,temperature
1,コーラ,100,50,50,5
2,珈琲甘,110,50,50,55
3,レモン,120,48,50,5
4,珈琲微糖,130,49,50,55
5,ジンジャ,140,49,50,5
6,ラテ,150,50,50,55
7,グレプ,160,50,50,5
8,ミル茶,170,50,50,55
9,オレンジ,180,50,50,5
10,紅茶,190,50,50,55
11,メロン,100,50,50,5
12,檸檬茶,110,49,50,55
13,サイダ,120,50,50,5
14,ココア,130,50,50,55
15,ライム,140,50,50,5
16,抹茶ラテ,150,50,50,55
17,水柑橘,160,50,50,5
18,ほうラテ,170,50,50,55
19,天然水,180,50,50,5
20,生姜湯,190,50,50,55
21,緑茶,100,50,50,5
22,コンスプ,110,50,50,55
23,麦茶,120,49,50,5
24,玉葱湯,130,50,50,55
25,烏龍茶,140,50,50,5
26,汁粉,150,50,50,55
27,ジャ茶,160,50,50,5
28,ミルココ,170,50,50,55
29,スポドリ,180,50,50,5
30,深煎珈琲,190,50,50,55
31,ビタ水,100,50,50,5
32,香る茶,110,50,50,55
33,アクレモ,120,49,50,5
34,柚子蜜,130,50,50,55
35,白ぶ水,140,50,50,5
36,黒糖ラテ,150,50,50,55
37,桃水,160,50,50,5
38,チャイ,170,50,50,55
39,柚子ソダ,180,50,50,5
40,玄米茶,190,50,50,55
41,林檎炭酸,100,50,50,5
42,温烏龍,110,50,50,55
43,トロソダ,120,49,50,5
44,甘酒,130,50,50,55
45,ライチ,140,49,50,5
46,モカ,150,50,50,55
47,ベリソダ,160,50,50,5
48,キャララ,170,49,50,55
49,クラコラ,180,50,50,5
50,ポタ湯,190,50,50,55
